kartez,family,genus,species,subspecies_variety,common name,photosynthetic_pathway,life_cycle,life_form,native,path,a_p,g_f,apgf
AMHY,Amaranthaceae,Amaranthus,hybridus,,slim amaranth,C4,a,H,y,C4,a,f,a_f
AMPA,Amaranthaceae,Amaranthus,palmeri,,carlessweed,C4,a,H,y,C4,a,f,a_f
AMPA5,Apocynaceae,Amsonia,palmeri,,Palmer's bluestar,,p,H,y,C3,p,f,p_f
AMPO2,Amaranthaceae,Amaranthus,powellii,,Powell's amaranth,C4,a,H,y,C4,a,f,a_f
ANCA10,Saururaceae,Anemopsis,californica,,yerba mansa,,p,H,y,C3,p,f,p_f
APAN2,Apocynaceae,Apocynum,androsaemifolium,,spreading dogbane,C3,p,H,y,C3,p,f,p_f
APRA,Asteraceae,Aphanostephus,ramosissimus,,plains dosedaisy,C3,ap,H,y,C3,p,f,p_f
APRAH,Asteraceae,Aphanostephus,ramosissimus,var. humilis,plains dosedaisy,C3,ap,H,y,C3,p,f,p_f
ARAD,Poaceae,Aristida,adscensionis,,sixweeks threeawn,C4,a,G,y,C4,a,g,a_g
ARAR6,Poaceae,Aristida,arizonica,,Arizona threeawn,C4,p,G,y,C4,p,g,p_g
ARBI3,Asteraceae,Artemisia,bigelovii,,Bigelow sagebrush,,p,S/ss,y,C3,p,s,p_s
ARCA12,Asteraceae,Artemisia,campestris,,field sagewort,C3,bp,H,y,C3,p,f,p_f
ARCA14,Asteraceae,Artemisia,carruthii,,Carruth's sagewort,,p,H,y,C3,p,f,p_f
ARDI5,Poaceae,Aristida,divaricata,,poverty threeawn,C4,p,G,y,C4,p,g,p_g
ARDR,Brassicaceae,Arabis,drummondii,,Dummond's rockcress,,bp,H,y,C3,p,f,p_f
ARDR4,Asteraceae,Artemisia,dracunculus,,wormwood,,p,ss/H,y,C3,p,f,p_f
ARFE5,Pteridaceae,Argyrochosma,fendleri,,Fendler's false cloak ferm,,p,H,y,C3,p,f,p_f
ARFEF,Brassicaceae,Arabis,fendleri, var. fendleri,Fendler's rockcress,C3,p,ss/H,y,C3,p,f,p_f
ARFI2,Asteraceae,Artemisia,filifolia,,sand sagebrush,,p,S/ss,y,C3,p,s,p_s
ARFR4,Asteraceae,Artemisia,frigida,,prairie sagewort,,p,ss,y,C3,p,s,p_s
ARHA3,Poaceae,Aristida,havardii,,Harvard's threeawn,C4,p,G,y,C4,p,g,p_g
ARIST,Poaceae,Aristida,sp.,,three awn,C4,p,G,y,C4,p,g,p_g
ARLU,Asteraceae,Artemisia,ludoviciana,,white sagebrush,C3,p,ss/H,y,C3,p,f,p_f
ARLUA,Asteraceae,Artemisia,ludoviciana,subsp. albula,white sagebrush,C3,p,ss/H,y,C3,p,f,p_f
ARLUL2,Asteraceae,Artemisia,ludoviciana,subsp. ludoviciana,white sagebrush,C3,p,ss/H,y,C3,p,f,p_f
ARPA9,Poaceae,Aristida,pansa,,Wooton's threeawn,C4,p,G,y,C4,p,g,p_g
ARPE2,Brassicaceae,Arabis,perennans,,perennial rockcress,,p,ss/H,y,C3,p,f,p_f
ARPU9,Poaceae,Aristida,purpurea,,purple threeawn,C4,ap,G,y,C4,p,g,p_g
ARPUF,Poaceae,Aristida,purpurea,var. fendleriana,Fendler's threeawn,C4,p,G,y,C4,p,g,p_g
ARPUL,Poaceae,Aristida,purpurea,var. longiseta,Fendler threeawn,C4,p,G,y,C4,p,g,p_g
ARPUN,Poaceae,Aristida,purpurea,var. nealleyi,blue threeawn,C4,p,G,y,C4,p,g,p_g
ARPUW,Poaceae,Aristida,purpurea,var. wrightii,Wright's threeawn,C4,p,G,y,C4,p,g,p_g
ASAL5,Fabaceae,Astragalus,albulus,,cibola milkvetch,,p,ss/H,y,C3,p,f,p_f
ASASA,Asclepiadaceae,Asclepias,asperula,subsp. asperula,spider milkweed,C3,p,H,y,C3,p,f,p_f
ASBR,Asclepiadaceae,Asclepias,brachystephana,,bract milkweed,C3,p,H,y,C3,p,f,p_f
ASEN,Asclepiadaceae,Asclepias,engelmanniana,,Engelmann's milkweed,C3,p,H,y,C3,p,f,p_f
ASFE2,Fabaceae,Astragalus,missouriensis,var. mimetes,horn loco milkvetch,,p,H,y,C3,p,f,p_f
ASLA4,Asclepiadaceae,Asclepias,latifolia,,broadleaf milkweed,C3,p,H,y,C3,p,f,p_f
ASLE8,Fabaceae,Astragalus,lentiginosus,,freckled milkvetch,,abp,S/ss/H,y,C3,p,s,p_s
ASLED,Fabaceae,Astragalus,lentiginosus,var. diphysus,freckled milkvetch,,p,H,y,C3,p,f,p_f
ASMA,Asclepiadaceae,Asclepias,macrotis,,longhood milkweed,C3,p,ss,y,C3,p,s,p_s
ASMI10,Fabaceae,Astragalus,missouriensis,,Missouri milkvetch,,p,ss/H,y,C3,p,f,p_f
ASMIM,Fabaceae,Astragalus,missouriensis,,Missouri milkvetch,,p,ss/H,y,C3,p,f,p_f
ASNU4,Fabaceae,Astragalus,nuttallianus,,smallflowered milkvetch,C3,ap,H,y,C3,p,f,p_f
ASNUA,Fabaceae,Astragalus,nuttallianus,var. austrinus,smallflowered milkvetch,C3,a,H,y,C3,a,f,a_f
ASPR5,Fabaceae,Astragalus,praelongus,,stinking milkvetch,,p,H,y,C3,p,f,p_f
ASPRE,Fabaceae,Astragalus,praelongus,var. ellisiae,Ellis' stinking milkvetch,,p,H,y,C3,p,f,p_f
ASPRP2,Fabaceae,Astragalus,praelongus,var. praelongus,stinking milkvetch,,p,H,y,C3,p,f,p_f
ASRE,Aspleniaceae,Asplenium,resiliens,,blackstem spleenwart,,p,H,y,NA,p,f,p_f
ASSP,Asclepiadaceae,Asclepias,speciosa,,showy milkweed,C3,p,H,y,C3,p,f,p_f
ASSU2,Asclepiadaceae,Asclepias,subverticillata,,horsetail milkweed,C3,p,H,y,C3,p,f,p_f
ASTE8,Fabaceae,Astragalus,tephrodes,,ashen milkvetch,C3,p,H,y,C3,p,f,p_f
ASTRA,Fabaceae,Astragalus,sp,,,C3,p,H,y,C3,p,f,p_f
ATARA,Chenopodiaceae,Atriplex,argentea,subsp. argentea,silverscale saltbush,C4,ap,H,y,C4,p,f,p_f
ATARE,Chenopodiaceae,Atriplex,argentea,subsp. expansa,silverscale saltbush,,ap,H,y,C4,p,f,p_f
ATCA2,Chenopodiaceae,Atriplex,canescens,,fourwing saltbush,C4,p,S,y,C4,p,s,p_s
ATCO,Chenopodiaceae,Atriplex,confertifolia,,shadescale saltbush,C4,p,ss/H,y,C4,p,f,p_f
ATSA,Chenopodiaceae,Atriplex,saccaria,,sack saltbush,,a,H,y,C4,a,f,a_f
BAAB,Asteraceae,Bahia,absinthifolia,,hairyseed bahia,C3,p,H,y,C3,p,f,p_f
BAABA,Asteraceae,Bahia,absinthifolia,var. absinthifolia,hairyseed bahia,C3,p,H,y,C3,p,f,p_f
BAABD,Asteraceae,Bahia,absinthifolia,var. dealbata,Dealbata's bahia,C3,p,H,y,C3,p,f,p_f
BADI,Asteraceae,Bahia,dissecta,,ragleaf bahia,,abp,H,y,C3,p,f,p_f
BAEM,Asteraceae,Baccharis,emoryi,,Emory's baccharis,,p,S,y,C3,p,s,p_s
BAMU,Asteraceae,Baileya,multiradiata,,desert marigold,C3,abp,H,y,C3,p,f,p_f
BAPE,Asteraceae,Bahia,pedata,,bluntscale bahia,,a,H,y,C3,a,f,a_f
BAPL3,Asteraceae,Baileya,pleniradiata,,woolly desert marigold,C3,abp,H,y,C3,p,f,p_f
BAPT,Asteraceae,Baccharis,pteronioides,,,,p,S,y,C3,p,s,p_s
BASA4,Asteraceae,Baccharis,salicifolia,,mule fat,,p,S,y,C3,p,s,p_s
BEER,Apiaceae,Berula,erecta,,cutleaf waterparsnip,,p,H,y,C3,p,f,p_f
BELY,Asteraceae,Berlandiera,lyrata,,lyreleaf greeneyes,C3,p,H,y,C3,p,f,p_f
BICE,Asteraceae,Bidens,cernua,,nodding beggartick,,a,H,y,C3,a,f,a_f
BIFR,Asteraceae,Bidens,frondosa,,devil's beggartick,C3,a,H,y,C3,a,f,a_f
BOAR,Poaceae,Bouteloua,aristidoides,,needle grama,C4,a,G,y,C4,a,g,a_g
BOBA2,Poaceae,Bouteloua,barbata,,sixweeks grama,C4,a,G,y,C4,a,g,a_g
BOCU,Poaceae,Bouteloua,curtipendula,,sideoats grama,C4,p,G,y,C4,p,g,p_g
BOER,Nyctaginaceae,Boerhavia,erecta,,erect spiderling,C4,ap,H,y,C4,p,f,p_f
BOER4,Poaceae,Bouteloua,eriopoda,,black grama,C4,p,G,y,C4,p,g,p_g
BOGR2,Poaceae,Bouteloua,gracilis,,blue grama,C4,p,G,y,C4,p,g,p_g
BOHI2,Poaceae,Bouteloua,hirsuta,,hairy grama,C4,p,G,y,C4,p,g,p_g
BOIN,Nyctaginaceae,Boerhavia,intermedia,,fivewing spiderling,C4,a,H,y,C4,a,f,a_f
BOLAT,Poaceae,Bothriochloa,laguroides,var. torreyana,silver beardgrass,,p,G,y,NA,p,g,p_g
BOPU,Nyctaginaceae,Boerhavia,purpurascens,,purple spiderling,,a,H,y,C4,a,f,a_f
BOSA,Poaceae,Bothriochloa,saccharoides,,silver bluestem,,p,G,y,C4,p,g,p_g
BOSP,Nyctaginaceae,Boerhavia,spicata,,creeping spiderling,C4,a,H,y,C4,a,f,a_f
BOSP3,Poaceae,Bothriochloa,springfieldii,,Springfield's beardgrass,,p,G,y,NA,p,g,p_g
BOWR2,Poaceae,Bothriochloa,wrightii,,Wright's beardgrass,,p,G,y,NA,p,g,p_g
BRBR2,Asteraceae,Brickellia,brachyphylla,,plumed brickellbush,,p,ss/H,y,C3,p,f,p_f
BRCA3,Asteraceae,Brickellia,californica,,California brickellbush,C3,p,S/ss,y,C3,p,s,p_s
BREU,Asteraceae,Brickellia,eupatorioides,,false boneset,,p,H/ss,y,NA,p,f,p_f
BREUC2,Asteraceae,Brickellia,eupatorioides,var. chlorolepis,ragged marsh-elder,,p,H/ss,y,C3,p,f,p_f
BREUE,Asteraceae,Brickellia,eupatorioides,var. eupatorioides,false boneset,,p,H/ss,y,NA,p,f,p_f
CADR6,Fabaceae,Hoffmannseggia,drepanocarpa,,sicklepod holdback,,p,ss/H,y,C3,p,f,p_f
CAHAF2,Onagraceae,Calylophus,hartwegii,var. filifolius,Hartweg's subdrops,,p,ss/H,y,C3,p,f,p_f
CAIN14,Scrophulariaceae,Castilleja,integra,,wholeleaf Indian paintbrush,,p,ss/H/rp,y,C3,p,f,p_f
CALI2,Acanthaceae,Carlowrightia,linearifolia,,heath wrightwort,C3,p,ss/H,y,C3,p,f,p_f
CAMI13,Scrophulariaceae,Castilleja,minor,,lesser Indian paintbrush,,ap,ss/H/rp,y,C3,p,f,p_f
CAPA47,Solanaceae,Calibrachoa,parviflora,,seaside petunia,,a,H,y,C3,a,f,a_f
CAWR,Asteraceae,Calycoseris,wrightii,,white tackstem,,a,H,y,NA,a,f,a_f
CEAR12,Gentianaceae,Centaurium,arizonicum,,Arizona centaury,,ab,H,y,C3,a,f,a_f
CELAR,Ulmaceae,Celtis,laevigata,var. reticulata,netleaf hackberry,,p,T/S,y,C3,p,t,p_t
CEMO2,Rosaceae,Cercocarpus,montanus,,alderleaf mountain mahogany,C3,p,T/S,y,C3,p,t,p_t
CESI,Loasaceae,Cevallia,sinuata,,stinging serpent,,p,ss/H,y,C3,p,f,p_f
CHAL11,Euphorbiaceae,Chamaesyce,albomarginata,,whitemargin sandmat,C4,p,H,y,C4,p,f,p_f
CHBA11,Asteraceae,Chrysothamnus,baileyi,,Bailey's rabbitbrush,,p,S/ss,y,NA,p,s,p_s
CHCHC3,Euphorbiaceae,Chamaesyce,chaetocalyx,var. chaetocalyx,bristlecup sandmat,C4,p,ss/H,y,C4,p,f,p_f
CHCO,Solanaceae,Chamaesaracha,coniodes,,gray five eyes,,p,H,y,C3,p,f,p_f
CHCO2,Solanaceae,Chamaesaracha,coronopus,,greenleaf five eyes,C3,p,H,y,C3,p,f,p_f
CHER2,Asteraceae,Chaetopappa,ericoides,,rose heath,C3,p,ss/H,y,C3,p,f,p_f
CHFE,Pteridaceae,Cheilanthes,feei,,slender lipfern,,p,H,y,C3,p,f,p_f
CHFE3,Euphorbiaceae,Chamaesyce,fendleri,,Fendler's sandmat,C4,p,ss/H,y,C4,p,f,p_f
CHFR3,Chenopodiaceae,Chenopodium,fremontii,,Fremont's goosefoot,C3,a,H,y,C3,a,f,a_f
CHGE2,Euphorbiaceae,Chamaesyce,geyeri,,Geyer's sandmat,C4,a,H,y,C4,a,f,a_f
CHGL13,Euphorbiaceae,Chamaesyce,glyptosperma,,ribseed sandmat ,,a,H,y,C4,a,f,a_f
CHGR2,Chenopodiaceae,Chenopodium,graveolens,,fetid goosefoot,C3,a,H,y,C3,a,f,a_f
CHIN2,Chenopodiaceae,Chenopodium,incanum,,mealy goosefoot,C3,a,H,y,C3,a,f,a_f
CHLA10,Euphorbiaceae,Chamaesyce,lata,,hoary sandmat,na,p,H,y,C4,p,f,p_f
CHLI2,Bignoniaceae,Chilopsis,linearis,,desert willow,C3,p,T/S,y,C3,p,t,p_t
CHLIA,Bignoniaceae,Chilopsis,linearis,subsp. arcuata,desert willow,C3,p,T/S,y,C3,p,t,p_t
CHMI7,Euphorbiaceae,Chamaesyce,micromera,,Sonoran sandmat,C4,a,H,y,C4,a,f,a_f
CHMI8,Euphorbiaceae,Chamaesyce,missurica,,prairie sandmat,,a,H,y,C4,a,f,a_f
CHPA28,Euphorbiaceae,Chamaesyce,parryi,,Parry's sandmat,,a,H,y,NA,a,f,a_f
CHPR6,Euphorbiaceae,Chamaesyce,prostrata,,prostrate sandmat,,ap,H,y,NA,p,f,p_f
CHRE4,Euphorbiaceae,Chamaesyce,revoluta,,threadstem sandmat,,a,H,y,C4,a,f,a_f
CHSE7,Euphorbiaceae,Chamaesyce,serrula,,sawtooth sandmat,C4,a,H,y,C4,a,f,a_f
CHSE8,Euphorbiaceae,Chamaesyce,setiloba,,Yuma sandmat,,a,H,y,NA,a,f,a_f
CHSES,Euphorbiaceae,Chamaesyce,serpyllifolia,subsp. serpyllifolia,thymeleaf sandmat,C4,a,H,y,C4,a,f,a_f
CHSO,Solanaceae,Chamaesaracha,sordida,,hairy five eyes,C3,p,H,y,C3,p,f,p_f
CHSP11,Asteraceae,Chloracantha,spinosa,,spiny choracantha,C3,p,H,y,C3,p,f,p_f
CHST8,Euphorbiaceae,Chamaesyce,stictospora,,slimseed sandmat,,a,H,y,C4,a,f,a_f
CHVI4,Poaceae,Chloris,virgata,,feather fingergrass,C4,a,G,y,C4,a,g,a_g
CHWO,Pteridaceae,Cheilanthes,wootonii,,beaded lipfern,,p,H,y,C3,p,f,p_f
CICA11,Asteraceae,Cirsium,canescens,,prairie thistle,,b,H,y,NA,a,f,a_f
CINE,Asteraceae,Cirsium,neomexicanum,,New Mexico thistle,C3,bp,H,y,C3,p,f,p_f
CIOC2,Asteraceae,Cirsium,ochrocentrum,,yellowspine thistle,C3,bp,H,y,C3,p,f,p_f
CIUN,Asteraceae,Cirsium,undulatum,,wavyleaf thistle,C3,bp,H,y,NA,p,f,p_f
CLLI2,Ranunculaceae,Clematis,ligusticifolia,,western white clematis,,p,V,y,C3,p,s,p_s
CLSE,Capparaceae,Cleome,serrulata,,Rocky Mountain beeplant,,a ,H,y,C3,a,f,a_f
COAU2,Fumariaceae,Corydalis,aurea,,scrambled eggs,C3,ab ,H,y,C3,a,f,a_f
COEQ,Convolvulaceae,Convolvulus,equitans,,Texas bindweed,C3,ap,V/H,y,C3,p,f,p_f
COERA,Commelinaceae,Commelina,erecta,var. angustifolia,whitemouth dayflower,,p,H,y,C3,p,f,p_f
COWR2,Scrophulariaceae,Cordylanthus,wrightii,,Wright's bird's beak,,a,H,y,C3,a,f,a_f
CRCI3,Boraginaceae,Cryptantha,cinerea,,James' cryptantha,C3,p,ss/H,y,NA,p,f,p_f
CRCIC,Boraginaceae,Cryptantha,cinerea,var. cinerea,James' cryptantha,C3,p,ss/H,y,C3,p,f,p_f
CRCIJ,Boraginaceae,Cryptantha,cinerea,var. jamesii,James' cryptantha,C3,p,ss/H,y,C3,p,f,p_f
CRCIL,Boraginaceae,Cryptantha,cinerea,var. laxa,James' cryptantha,C3,p,ss/H,y,C3,p,f,p_f
CRCR3,Boraginaceae,Cryptantha,crassisepala,,thicksepal cryptantha,C3,a,H,y,C3,a,f,a_f
CRCRE,Boraginaceae,Cryptantha,crassisepala,var. elachantha,thicksepal cryptantha,C3,a,H,y,C3,a,f,a_f
CREO,Zygophyllaceae,Larrea,tridentata,,creosote bush,C3,p,S,y,C3,p,s,p_s
CRFU,Boraginaceae,Cryptantha,fulvocanescens,,tawny cryptantha,C3,p,ss/H,y,NA,p,f,p_f
CROB,Boraginaceae,Cryptantha,oblata,,rough cryptantha,C3,p,ss/H,y,NA,p,f,p_f
CRPA8,Boraginaceae,Cryptantha,paysonii,,Payson's cryptantha,C3,p,ss/H,y,NA,p,f,p_f
CRTE4,Euphorbiaceae,Croton,texensis,,Texas croton,,a,H,y,C3,a,f,a_f
CRTR5,Convolvulaceae,Cressa,truxillensis,,spreading alkaliweed,,p,ss/H,y,C3,p,f,p_f
CUFO,Cucurbitaceae,Cucurbita,foetidissima,,Missouri gourd,C3,p,V/H,y,C3,p,f,p_f
CYACF,Apiaceae,Cymopterus,acaulis,var. fendleri,Fendler's springparsley,,p,H,y,C3,p,f,p_f
CYAT,Chenopodiaceae,Cycloloma,atriplicifolium,,winged pigweed,C3,a,H,y,C3,a,f,a_f
CYES,Cyperaceae,Cyperus,esculentus,,yellow nutsedge,C4,p,G,y,C4,p,g,p_g
CYIM2,Cactaceae,Cylindropuntia,imbricata,,tree cholla,CAM,p,T/S/su,y,CAM,p,s,p_s
CYIMI,Cactaceae,Cylindropuntia,imbricata,var. imbricata,tree cholla,CAM,p,T/S/su,y,CAM,p,s,p_s
CYLE8,Cactaceae,Cylindropuntia,leptocaulis,,Christmas cactus,CAM,p,S/su,y,CAM,p,s,p_s
CYMO,Apiaceae,Cymopterus,montanus,,mountain springparsley,,p,H,y,C3,p,f,p_f
CYOD,Cyperaceae,Cyperus,odoratus,,fragrant flatsedge,,ap,G,y,C4,p,g,p_g
DABR,Fabaceae,Dalea,brachystachya,,,,ab,H,y,C3,a,f,a_f
DACA7,Fabaceae,Dalea,candida,,white prairie clover,,p,ss/H,y,C3,p,f,p_f
DACAC,Fabaceae,Dalea,candida,var. candida,white prairie clover,,p,ss/H,y,C3,p,f,p_f
DACAO,Fabaceae,Dalea,candida,var. oligophylla,white prairie clover,C3,p,ss/H,y,C3,p,f,p_f
DACY,Fabaceae,Dalea,cylindriceps,,Andean prairie clover,,p,H,y,C3,p,f,p_f
DAFO,Fabaceae,Dalea,formosa,,featherplume,C3,p,S/ss,y,C3,p,s,p_s
DAJA,Fabaceae,Dalea,jamesii,,James' prairie clover,,p,ss/H,y,C3,p,f,p_f
DALA3,Fabaceae,Dalea,lanata,,woolly prairie clover,,p,H,y,C3,p,f,p_f
DALAT,Fabaceae,Dalea,lanata,var. terminalis,woolly prairie clover,,p,H,y,C3,p,f,p_f
DALE3,Fabaceae,Dalea,leporina,,foxtail prairie clover,,a,H,y,C3,a,f,a_f
DALEA,Fabaceae,Dalea,sp.,,,,ab,H,y,C3,a,f,a_f
DANA,Fabaceae,Dalea,nana,,dwarf prairie clover,,p,H,y,C3,p,f,p_f
DANAN,Fabaceae,Dalea,nana,var. nana,dwarf prairie clover,,p,H,y,C3,p,f,p_f
DANE,Fabaceae,Dalea,neomexicana,,downy prairie clover,,p,H,y,C3,p,f,p_f
DAPU7,Poaceae,Dasyochloa,pulchella,,low woolygrass,C4,p,G,y,C4,p,g,p_g
DAPUP,Fabaceae,Dalea,purpurea,var. purpurea,purple prairie clover,C3,p,ss/H,y,C3,p,f,p_f
DASC4,Fabaceae,Dalea,scariosa,,Albuquerque prairie clover,,p,H,y,C3,p,f,p_f
DAWR,Fabaceae,Dalea,wrightii,,Wright's prairie clover,,p,H,y,C3,p,f,p_f
DECAV2,Ranunculaceae,Delphinium,carolinianum,var. virescens,Carolina larkspur,C3,p,H,y,C3,p,f,p_f
DEOB,Brassicaceae,Descurainia,obtusa,,blunt tansymustard,,ap,H,y,C3,p,f,p_f
DEPI,Brassicaceae,Descurainia,pinnata,,western tansymustard,C3,abp,H,y,C3,p,f,p_f
DEPIH,Brassicaceae,Descurainia,pinnata,var. halictorum,western tansymustard,C3,abp,H,y,C3,p,f,p_f
DEWO,Ranunculaceae,Delphinium,wootonii,,Organ Mountain larkspur,,p,H,y,C3,p,f,p_f
DISP,Poaceae,Distichlis,spicata,,saltgrass,C4,p,G,y,C4,p,g,p_g
DIWI2,Brassicaceae,Dimorphocarpa,wislizeni,,touristplant,C3,a,H,y,C3,a,f,a_f
