year,season,date,site,web,plot,quad,treatment,species,obs,cover,height,count,comment
1999,1,2/3/1999,C,2,E,1,C,DAPU7,1,0.25,5,2,NA
1999,1,2/3/1999,C,2,E,1,C,LATR2,1,3,26,1,NA
1999,1,2/3/1999,C,2,E,1,C,LATR2,2,2,41,1,NA
1999,1,2/3/1999,C,2,E,1,C,LATR2,3,2,48,1,NA
1999,1,2/3/1999,C,2,E,1,C,LATR2,4,2.5,28,1,NA
1999,1,2/3/1999,C,2,E,1,C,LEFE,1,0.25,3,1,NA
1999,1,2/3/1999,C,2,E,1,C,LEFE,2,0.05,1,1,NA
1999,1,2/3/1999,C,2,E,2,C,DAPU7,1,0.25,3,4,NA
1999,1,2/3/1999,C,2,E,2,C,DAPU7,2,0.1,2,4,NA
1999,1,2/3/1999,C,2,E,2,C,GUSA2,1,0.1,8,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,1,3,26,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,2,2,16,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,3,1.5,19,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,4,3.5,34,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,5,2,20,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,6,2,19,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,7,3,23,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,8,1,18,1,NA
1999,1,2/3/1999,C,2,E,2,C,LATR2,9,5.5,32,1,NA
1999,1,2/3/1999,C,2,E,2,C,SPCO4,1,0.25,12,6,WAS_SPCO4
1999,1,2/3/1999,C,2,E,3,C,DAPU7,1,0.5,4,3,NA
1999,1,2/3/1999,C,2,E,3,C,DAPU7,2,0.25,3,2,NA
1999,1,2/3/1999,C,2,E,3,C,GUSA2,1,0.1,9,1,NA
1999,1,2/3/1999,C,2,E,3,C,LATR2,1,1.5,28,1,NA
1999,1,2/3/1999,C,2,E,3,C,LATR2,2,1,28,1,NA
1999,1,2/3/1999,C,2,E,3,C,LATR2,3,1,27,1,NA
1999,1,2/3/1999,C,2,E,3,C,LATR2,4,0.5,14,1,NA
1999,1,2/3/1999,C,2,E,3,C,LATR2,5,0.5,8,1,NA
1999,1,2/3/1999,C,2,E,3,C,LATR2,6,0.5,20,1,NA
1999,1,2/3/1999,C,2,E,3,C,LEFE,1,0.05,3,1,NA
1999,1,2/3/1999,C,2,E,3,C,SPPO6,1,0.05,7,1,NA
1999,1,2/3/1999,C,2,E,4,C,DAPU7,1,0.05,3,1,NA
1999,1,2/3/1999,C,2,E,4,C,DAPU7,2,0.5,3,1,NA
1999,1,2/3/1999,C,2,E,4,C,DAPU7,3,0.25,3,1,NA
1999,1,2/3/1999,C,2,N,1,C,DAPU7,1,0.5,3,3,NA
1999,1,2/3/1999,C,2,N,1,C,DAPU7,2,0.25,3,4,NA
1999,1,2/3/1999,C,2,N,2,C,DAPU7,1,0.5,3,6,NA
1999,1,2/3/1999,C,2,N,2,C,DAPU7,2,0.25,3,5,NA
1999,1,2/3/1999,C,2,N,2,C,DAPU7,3,0.1,2,3,NA
1999,1,2/3/1999,C,2,N,2,C,MUAR2,1,0.25,5,7,NA
1999,1,2/3/1999,C,2,N,2,C,MUAR2,2,0.5,5,1,NA
1999,1,2/3/1999,C,2,N,3,C,BOER4,1,1,15,1,NA
1999,1,2/3/1999,C,2,N,3,C,BOER4,2,3,12,1,NA
1999,1,2/3/1999,C,2,N,3,C,BOER4,3,0.25,10,1,NA
1999,1,2/3/1999,C,2,N,3,C,CHER2,1,0.05,2,1,NA
1999,1,2/3/1999,C,2,N,3,C,DAPU7,1,0.25,3,17,NA
1999,1,2/3/1999,C,2,N,3,C,DAPU7,2,0.1,3,10,NA
1999,1,2/3/1999,C,2,N,4,C,BOER4,1,2,17,1,NA
1999,1,2/3/1999,C,2,N,4,C,DAPU7,1,0.25,3,7,NA
1999,1,2/3/1999,C,2,N,4,C,DAPU7,2,0.5,3,1,NA
1999,1,2/3/1999,C,2,N,4,C,LATR2,1,0.5,8,1,NA
1999,1,2/3/1999,C,2,N,4,C,MUAR2,1,3,9,1,NA
1999,1,2/3/1999,C,2,N,4,C,MUAR2,2,1.5,7,1,NA
1999,1,2/3/1999,C,2,N,4,C,MUAR2,3,0.75,7,1,NA
1999,1,2/3/1999,C,2,S,1,C,DAPU7,1,0.25,3,15,NA
1999,1,2/3/1999,C,2,S,1,C,DAPU7,2,0.1,2,36,NA
1999,1,2/3/1999,C,2,S,1,C,DAPU7,3,0.5,3,5,NA
1999,1,2/3/1999,C,2,S,2,C,DAPU7,1,0.25,2,33,NA
1999,1,2/3/1999,C,2,S,2,C,DAPU7,2,0.1,2,56,NA
1999,1,2/3/1999,C,2,S,2,C,DAPU7,3,0.5,4,8,NA
1999,1,2/3/1999,C,2,S,2,C,LEFE,1,0.4,7,1,NA
1999,1,2/3/1999,C,2,S,2,C,MELE2,1,0.5,8,1,NA
1999,1,2/3/1999,C,2,S,3,C,DAPU7,1,0.25,3,8,NA
1999,1,2/3/1999,C,2,S,3,C,DAPU7,2,0.1,2,11,NA
1999,1,2/3/1999,C,2,S,3,C,DAPU7,3,0.01,1,4,NA
1999,1,2/3/1999,C,2,S,4,C,DAPU7,1,0.05,2,46,NA
1999,1,2/3/1999,C,2,S,4,C,DAPU7,2,0.1,3,37,NA
1999,1,2/3/1999,C,2,S,4,C,DAPU7,3,0.01,2,4,NA
1999,1,2/3/1999,C,2,S,4,C,DAPU7,4,0.25,3,23,NA
1999,1,2/3/1999,C,2,S,4,C,GUSA2,1,0.25,12,1,NA
1999,1,2/3/1999,C,2,S,4,C,LEFE,1,0.5,9,1,NA
1999,1,2/3/1999,C,2,W,1,C,DAPU7,1,0.5,3,4,NA
1999,1,2/3/1999,C,2,W,1,C,DAPU7,2,0.25,3,16,NA
1999,1,2/3/1999,C,2,W,1,C,DAPU7,3,0.1,2,9,NA
1999,1,2/3/1999,C,2,W,1,C,GUSA2,1,0.5,16,1,NA
1999,1,2/3/1999,C,2,W,1,C,LATR2,1,0.2,6,1,NA
1999,1,2/3/1999,C,2,W,1,C,LEFE,1,0.75,15,1,NA
1999,1,2/3/1999,C,2,W,1,C,SPCO4,1,2,24,1,WAS_SPCO4
1999,1,2/3/1999,C,2,W,1,C,SPCO4,2,9,22,1,WAS_SPCO4
1999,1,2/3/1999,C,2,W,2,C,DAPU7,1,0.1,2,66,NA
1999,1,2/3/1999,C,2,W,2,C,DAPU7,2,0.25,3,5,NA
1999,1,2/3/1999,C,2,W,2,C,DAPU7,3,0.5,3,2,NA
1999,1,2/3/1999,C,2,W,2,C,GUSA2,1,0.05,6,1,NA
1999,1,2/3/1999,C,2,W,2,C,LATR2,1,0.25,6,1,NA
1999,1,2/3/1999,C,2,W,2,C,LATR2,2,0.25,4,1,NA
1999,1,2/3/1999,C,2,W,2,C,LATR2,3,0.5,4,1,NA
1999,1,2/3/1999,C,2,W,2,C,LEFE,1,0.5,10,1,NA
1999,1,2/3/1999,C,2,W,2,C,SPFL2,1,3,12,1,WAS_SPFL2
1999,1,2/3/1999,C,2,W,3,C,DAPU7,1,0.1,2,10,NA
1999,1,2/3/1999,C,2,W,3,C,DAPU7,2,0.25,3,24,NA
1999,1,2/3/1999,C,2,W,3,C,DAPU7,3,0.5,4,3,NA
1999,1,2/3/1999,C,2,W,3,C,GUSA2,1,0.05,10,2,NA
1999,1,2/3/1999,C,2,W,3,C,LATR2,1,1,24,1,NA
1999,1,2/3/1999,C,2,W,3,C,LATR2,2,2,28,1,NA
1999,1,2/3/1999,C,2,W,3,C,LATR2,3,1.5,25,1,NA
1999,1,2/3/1999,C,2,W,3,C,LATR2,4,1,19,1,NA
1999,1,2/3/1999,C,2,W,3,C,LEFE,1,0.25,5,1,NA
1999,1,2/3/1999,C,2,W,3,C,LEFE,2,0.5,3,1,NA
1999,1,2/3/1999,C,2,W,3,C,MELE2,1,0.05,4,1,NA
1999,1,2/3/1999,C,2,W,4,C,DAPU7,1,0.25,15,1,NA
1999,1,2/3/1999,C,2,W,4,C,DAPU7,2,0.1,17,1,NA
1999,1,2/3/1999,C,2,W,4,C,DAPU7,3,0.05,4,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,1,1,20,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,2,3,18,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,3,1.5,17,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,4,1.25,14,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,5,1.25,29,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,6,2,50,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,7,1,33,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,8,1,26,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,9,4.5,42,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,10,1,16,1,NA
1999,1,2/3/1999,C,2,W,4,C,LATR2,11,0.1,5,1,NA
1999,1,2/3/1999,C,2,W,4,C,LEFE,1,1,12,12,NA
1999,1,2/3/1999,C,2,W,4,C,LEFE,2,0.5,7,4,NA
1999,1,2/3/1999,C,3,E,1,C,DAPU7,1,0.25,5,2,NA
1999,1,2/3/1999,C,3,E,1,C,DAPU7,2,0.05,3,1,NA
1999,1,2/3/1999,C,3,E,1,C,GUSA2,1,0.1,8,1,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,1,2,35,8,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,2,3,47,1,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,3,1,20,1,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,4,0.5,16,1,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,5,1,24,1,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,6,1,29,1,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,7,0.5,26,2,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,8,3,42,1,NA
1999,1,2/3/1999,C,3,E,1,C,LATR2,9,2,38,1,NA
1999,1,2/3/1999,C,3,E,1,C,MAPIP,1,0.01,1,1,NA
1999,1,2/3/1999,C,3,E,1,C,SPAI,1,0.25,8,1,WAS_SPAI
1999,1,2/3/1999,C,3,E,1,C,SPAI,2,0.5,15,1,WAS_SPAI
1999,1,2/3/1999,C,3,E,2,C,DAPU7,1,0.25,6,1,NA
1999,1,2/3/1999,C,3,E,2,C,DAPU7,2,0.1,5,1,NA
1999,1,2/3/1999,C,3,E,2,C,LATR2,1,2,33,2,NA
1999,1,2/3/1999,C,3,E,2,C,LATR2,2,1,35,3,NA
1999,1,2/3/1999,C,3,E,2,C,LATR2,3,0.5,28,6,NA
1999,1,2/3/1999,C,3,E,2,C,LATR2,4,2,50,2,NA
1999,1,2/3/1999,C,3,E,2,C,LATR2,5,3,58,1,NA
1999,1,2/3/1999,C,3,E,2,C,LATR2,6,1.5,16,1,NA
1999,1,2/3/1999,C,3,E,3,C,DAPU7,1,0.25,5,6,NA
1999,1,2/3/1999,C,3,E,3,C,DAPU7,2,0.05,3,2,NA
1999,1,2/3/1999,C,3,E,3,C,GUSA2,1,0.25,10,1,NA
1999,1,2/3/1999,C,3,E,3,C,LATR2,1,2,58,6,NA
1999,1,2/3/1999,C,3,E,3,C,LATR2,2,1,55,3,NA
1999,1,2/3/1999,C,3,E,3,C,LATR2,3,1,29,4,NA
1999,1,2/3/1999,C,3,E,3,C,LATR2,4,1,45,4,NA
1999,1,2/3/1999,C,3,E,3,C,LATR2,5,2,61,1,NA
1999,1,2/3/1999,C,3,E,4,C,DAPU7,1,0.25,5,1,NA
1999,1,2/3/1999,C,3,E,4,C,LATR2,1,8,56,1,NA
1999,1,2/3/1999,C,3,E,4,C,LATR2,2,2,46,1,NA
1999,1,2/3/1999,C,3,E,4,C,LATR2,3,0.5,14,1,NA
1999,1,2/3/1999,C,3,E,4,C,LATR2,4,1,22,1,NA
1999,1,2/3/1999,C,3,E,4,C,LATR2,5,0.25,12,1,NA
1999,1,2/3/1999,C,3,N,1,C,DAPU7,1,0.1,3,2,NA
1999,1,2/3/1999,C,3,N,2,C,ARPU9,1,0.5,7,1,NA
1999,1,2/3/1999,C,3,N,2,C,ARPU9,2,0.25,7,1,NA
1999,1,2/3/1999,C,3,N,2,C,ARPU9,3,0.1,6,1,NA
1999,1,2/3/1999,C,3,N,2,C,DAPU7,1,0.25,3,10,NA
1999,1,2/3/1999,C,3,N,2,C,DAPU7,2,0.1,2,3,NA
1999,1,2/3/1999,C,3,N,3,C,DAPU7,1,0.25,4,7,NA
1999,1,2/3/1999,C,3,N,3,C,DAPU7,2,0.1,4,5,NA
1999,1,2/3/1999,C,3,N,3,C,SPPO6,1,0.01,1,1,NA
1999,1,2/3/1999,C,3,N,4,C,DAPU7,1,0.25,4,4,NA
1999,1,2/3/1999,C,3,N,4,C,DAPU7,2,0.1,4,2,NA
1999,1,2/3/1999,C,3,N,4,C,MUAR2,1,0.1,3,3,NA
1999,1,2/3/1999,C,3,S,1,C,ARPU9,1,5,9,1,NA
1999,1,2/3/1999,C,3,S,1,C,DAPU7,1,0.1,2,5,NA
1999,1,2/3/1999,C,3,S,1,C,DAPU7,2,0.5,4,4,NA
1999,1,2/3/1999,C,3,S,1,C,DAPU7,3,0.25,3,9,NA
1999,1,2/3/1999,C,3,S,1,C,DAPU7,4,0.05,3,2,NA
1999,1,2/3/1999,C,3,S,1,C,GUSA2,1,0.5,10,1,NA
1999,1,2/3/1999,C,3,S,1,C,LATR2,1,2,34,1,NA
1999,1,2/3/1999,C,3,S,1,C,LEFE,1,1.5,9,1,NA
1999,1,2/3/1999,C,3,S,1,C,LEFE,2,0.75,5,1,NA
1999,1,2/3/1999,C,3,S,2,C,ARDI5,1,0.25,5,1,NA
1999,1,2/3/1999,C,3,S,2,C,DAPU7,1,0.25,2,15,NA
1999,1,2/3/1999,C,3,S,2,C,DAPU7,2,0.5,3,4,NA
1999,1,2/3/1999,C,3,S,2,C,DAPU7,3,0.1,2,12,NA
1999,1,2/3/1999,C,3,S,2,C,GRCL,1,1,8,1,NA
1999,1,2/3/1999,C,3,S,2,C,GRCL,2,0.5,5,1,NA
1999,1,2/3/1999,C,3,S,2,C,GRCL,3,0.5,7,1,NA
1999,1,2/3/1999,C,3,S,2,C,GRCL,4,0.25,4,1,NA
1999,1,2/3/1999,C,3,S,2,C,LATR2,1,1.5,22,1,NA
1999,1,2/3/1999,C,3,S,2,C,LEFE,1,0.5,9,1,NA
1999,1,2/3/1999,C,3,S,2,C,LEFE,2,0.25,7,1,NA
1999,1,2/3/1999,C,3,S,2,C,MELE2,1,5.5,12,1,NA
1999,1,2/3/1999,C,3,S,2,C,MELE2,2,0.5,8,1,NA
1999,1,2/3/1999,C,3,S,2,C,SPCO4,1,2,15,1,WAS_SPCO4
1999,1,2/3/1999,C,3,S,3,C,ARDI5,1,0.25,6,1,NA
1999,1,2/3/1999,C,3,S,3,C,ARDI5,2,0.25,4,1,NA
1999,1,2/3/1999,C,3,S,3,C,ARDI5,3,0.25,6,1,NA
1999,1,2/3/1999,C,3,S,3,C,DAPU7,1,0.05,2,4,NA
1999,1,2/3/1999,C,3,S,3,C,DAPU7,2,0.1,3,6,NA
1999,1,2/3/1999,C,3,S,3,C,DAPU7,3,1,5,1,NA
1999,1,2/3/1999,C,3,S,3,C,DAPU7,4,1.25,5,1,NA
1999,1,2/3/1999,C,3,S,3,C,DAPU7,5,0.5,4,3,NA
1999,1,2/3/1999,C,3,S,3,C,DAPU7,6,0.75,4,2,NA
1999,1,2/3/1999,C,3,S,3,C,DAPU7,7,0.25,4,6,NA
1999,1,2/3/1999,C,3,S,3,C,GUSA2,1,0.01,5,1,NA
1999,1,2/3/1999,C,3,S,3,C,GUSA2,2,0.01,3,1,NA
1999,1,2/3/1999,C,3,S,4,C,ARDI5,1,0.25,6,10,NA
1999,1,2/3/1999,C,3,S,4,C,ARDI5,2,0.5,6,1,NA
1999,1,2/3/1999,C,3,S,4,C,DAPU7,1,0.1,2,9,NA
1999,1,2/3/1999,C,3,S,4,C,DAPU7,2,0.25,3,24,NA
1999,1,2/3/1999,C,3,S,4,C,DAPU7,3,1,3,11,NA
1999,1,2/3/1999,C,3,S,4,C,DAPU7,4,0.5,4,4,NA
1999,1,2/3/1999,C,3,S,4,C,GUSA2,1,3,14,1,NA
1999,1,2/3/1999,C,3,S,4,C,GUSA2,2,0.1,8,2,NA
1999,1,2/3/1999,C,3,S,4,C,GUSA2,3,0.01,3,1,NA
1999,1,2/3/1999,C,3,S,4,C,LEFE,1,0.25,5,1,NA
1999,1,2/3/1999,C,3,S,4,C,LEFE,2,1,8,1,NA
1999,1,2/3/1999,C,3,W,1,C,DAPU7,1,2,9,1,NA
1999,1,2/3/1999,C,3,W,1,C,DAPU7,2,0.5,4,10,NA
1999,1,2/3/1999,C,3,W,1,C,DAPU7,3,0.25,3,3,NA
1999,1,2/3/1999,C,3,W,1,C,DAPU7,4,0.1,2,1,NA
1999,1,2/3/1999,C,3,W,1,C,GUSA2,1,0.01,2,1,NA
1999,1,2/3/1999,C,3,W,1,C,GUSA2,2,0.01,4,1,NA
1999,1,2/3/1999,C,3,W,1,C,LATR2,1,0.5,10,1,NA
1999,1,2/3/1999,C,3,W,1,C,LATR2,2,5.5,38,1,NA
1999,1,2/3/1999,C,3,W,1,C,LATR2,3,2,38,1,NA
1999,1,2/3/1999,C,3,W,1,C,LATR2,4,1.5,28,1,NA
