season,site,kartez,allometry,metric,value,n_zero_mean,biomass_mean,n_quads
F,C,CHRE4,BIM,cv,3.461413255678879,13,0.018993333333333327,2
F,C,CHSE7,BIM,cv,2.8328914711715374,12.15,0.1145649,40
F,C,CHSES,BIM,cv,2.7661792184759983,11.947368421052632,0.2724514736842105,38
F,C,CHST8,BIM,cv,3.450252267846308,13.6,0.10797,5
F,C,CRCR3,BIM,cv,3.2074458991414767,13.142857142857142,0.010709460317460312,21
F,C,CYLE8,BIM,cv,3.872983346207416,14,0.0958,1
F,C,DAPU7,BIM,cv,2.010033823534075,8.432432432432432,0.422972972972973,37
F,C,DEPI,BIM,cv,3.750255691123712,13.833333333333334,0.005038611111111107,12
F,C,ELEL5,BIM,cv,2.8686634939391635,11,1.7805916666666666,2
F,C,ENDE,BIM,cv,3.6230094588021946,13.142857142857142,0.08439999999999999,7
F,C,ERAB2,BIM,cv,3.513341077291487,13,0.00334033333333333,1
F,C,EUEX4,BIM,cv,3.1431646055454245,12.777777777777779,0.05854018518518519,9
F,C,GRCL,BIM,cv,0.7374813208600339,2,5.36969,2
F,C,GUSA2,BIM,cv,2.94267537594168,11.107142857142858,11.513700404761904,28
F,C,GUSP,BIM,cv,3.872983346207417,14,0.38036933333333334,5
F,C,HENE5,BIM,cv,3.872983346207417,14,0.1404,1
F,C,HODR,BIM,cv,1.841213565837707,6.666666666666667,0.6278866666666666,6
F,C,IPPU4,BIM,cv,3.8415715227584935,13.875,0.001214666666666665,8
F,C,KAPA,BIM,cv,3.4544899637908255,13.142857142857142,0.7589685714285713,7
F,C,LAOCO,BIM,cv,3.708445850506821,13.647058823529411,0.011862588235294118,17
F,C,LATR2,BIM,cv,1.0016237848975271,2.6857142857142855,75.07382571428572,35
F,C,LEFE,BIM,cv,2.241279523031285,8.911764705882353,0.7939066274509804,34
F,C,LIPU4,BIM,cv,3.6370781801449863,13.333333333333334,0.026925111111111108,3
F,C,MAGR10,BIM,cv,3.872983346207417,14,0.060733333333333334,2
F,C,MAPIP,BIM,cv,2.9905000606006853,12.25,0.33260355555555554,12
F,C,MELE2,BIM,cv,3.1931490490598007,12.625,0.39585966666666667,8
F,C,MESC,BIM,cv,2.6059373598776965,10,0.34354166666666663,4
F,C,MIAL4,BIM,cv,3.872983346207417,14,0.00549666666666666,1
F,C,MUAR,BIM,cv,3.2769673349491595,13.5,0.055766666666666666,2
F,C,MUAR2,BIM,cv,3.517289220613981,13.4,0.16638,5
F,C,MUPO2,BIM,cv,2.7240496075813043,11.076923076923077,1.3320923076923077,13
F,C,MUSQ3,BIM,cv,3.390180364129508,13.19047619047619,0.04635977777777778,21
F,C,"NAHI",BIM,cv,3.872983346207417,14,0.006832499999999995,2
F,C,OPMA8,BIM,cv,1.111888023970504,4,65.7712,1
F,C,OPPH,BIM,cv,2.2533101897120895,11,23.421533333333333,1
F,C,PAIN2,BIM,cv,3.8729833462074175,14,0.00437999999999999,1
F,C,PEAN,BIM,cv,3.872983346207417,14,0.00295,1
F,C,PEFE,BIM,cv,3.872983346207417,14,0.00653333333333333,1
F,C,PHACE,BIM,cv,3.872983346207417,14,0.0022281458333333315,4
F,C,PHCR,BIM,cv,3.872983346207417,14,3.0366666666666666e-4,7
F,C,PLJA,BIM,cv,1.5864965627279453,5.2,10.688099333333334,5
F,C,PLPA2,BIM,cv,3.77472649255174,13.421052631578947,0.002919789473684209,19
F,C,POOL,BIM,cv,3.8729833462074175,14,0.07648666666666666,1
F,C,PSTAT,BIM,cv,3.872983346207417,14,0.00549666666666666,1
F,C,SAAB,BIM,cv,3.2794857974367524,13.5,0.022229999999999993,2
F,C,SCBR2,BIM,cv,1.9807186184541614,6.571428571428571,3.3930033333333336,14
F,C,SCLA6,BIM,cv,3.872983346207417,14,0.05496666666666667,1
F,C,SEDI3,BIM,cv,2.2688166891422776,10.5,1.314,2
F,C,SOEL,BIM,cv,3.0695998458726708,10,0.2478466666666667,2
F,C,SPAI,BIM,cv,2.891810090180135,13,0.223125,1
F,C,SPHA,BIM,cv,3.872983346207417,14,0.006291666666666667,2
F,C,SPORO,BIM,cv,2.685452470702357,10.958333333333334,0.5903780416666667,24
F,C,SPPO6,BIM,cv,2.6173269081682213,11.466666666666667,0.18219617777777777,15
F,C,STEM,BIM,cv,1.5401387285327592,9.666666666666666,0.2790666666666667,30
F,C,THAC,BIM,cv,2.455055724679821,8.5,3.6989671428571427,14
F,C,THME,BIM,cv,3.872983346207417,14,0.02748333333333333,1
F,C,TICA3,BIM,cv,3.62168875861603,13,0.3504,1
F,C,TILA2,BIM,cv,3.872983346207417,14,0.0066,2
F,C,TOAN,BIM,cv,3.872983346207417,14,0.0015942499999999976,4
F,G,ALIN,BIM,cv,3.1214498631476153,12.333333333333334,0.7253333333333333,3
F,G,APRAH,BIM,cv,3.3134904092016635,12.666666666666666,0.42892322222222223,6
F,G,ARIST,BIM,cv,2.6410404568387533,11,8.939298333333333,2
F,G,ASTRA,BIM,cv,3.188546476843033,12.421052631578947,0.05537638596491228,19
F,G,BOBA2,BIM,cv,3.2505473787880668,12.8,0.040583999999999995,5
F,G,BOER4,BIM,cv,0.5327093643004787,0.09090909090909091,78.24586527272727,22
F,G,CHER2,BIM,cv,2.98960694451702,9.666666666666666,1.6337475555555556,3
F,G,CHRE4,BIM,cv,2.9578790205147336,12.105263157894736,0.0754280701754386,19
F,G,CHSE7,BIM,cv,2.9186968164560225,11.428571428571429,0.21783161904761905,21
F,G,CHSES,BIM,cv,3.3114604432937127,12.133333333333333,0.153176,15
F,G,CRCR3,BIM,cv,3.8729833462074175,14,0.00274266666666666,5
F,G,DAPU7,BIM,cv,2.558574081579875,9.571428571428571,0.545952380952381,7
F,G,ENDE,BIM,cv,3.4330161655350286,12.75,0.5195875,4
F,G,EPTO,BIM,cv,0.4958847036804647,0,29.080733333333335,1
F,G,ERTE13,BIM,cv,3.872983346207417,14,0.00151833333333333,1
F,G,EUEX4,BIM,cv,3.0479268395681762,10.772727272727273,0.19437427272727273,22
F,G,GUSA2,BIM,cv,2.5886965543987666,11.166666666666666,8.366984444444444,18
F,G,HODR,BIM,cv,2.5725307473348247,9.733333333333333,0.7831546666666667,15
F,G,KAPA,BIM,cv,3.3488141602038057,12.6,1.4187439333333334,20
F,G,LATR2,BIM,cv,2.3951979308439317,9.5,48.650850000000005,2
F,G,LEFE,BIM,cv,2.545110095962724,11.5,0.7169706666666666,2
F,G,LIPU4,BIM,cv,3.7040879269771874,13.666666666666666,0.005668444444444441,6
F,G,MAGR10,BIM,cv,3.872983346207417,14,0.01670166666666666,1
F,G,MAPIP,BIM,cv,3.286931607159052,12.777777777777779,2.0568253333333333,9
F,G,MUAR2,BIM,cv,2.887427571987624,10,2.098644,5
F,G,MUSQ3,BIM,cv,3.7103820909873826,13.4,0.0688716,5
F,G,OECA10,BIM,cv,3.872983346207417,14,0.012092666666666661,7
F,G,OPPH,BIM,cv,2.061983239679877,11,9.750533333333331,1
F,G,PLJA,BIM,cv,2.9476777814214143,11.75,1.306295,4
F,G,PLPA2,BIM,cv,3.6779820465547814,13.619047619047619,0.002216317460317459,21
F,G,POOL,BIM,cv,3.872983346207417,14,0.00347666666666666,1
F,G,SAAB,BIM,cv,3.2651064422035896,12,0.24453,2
F,G,SATR12,BIM,cv,3.628595466128254,13.23076923076923,2.942021794871795,13
F,G,SCBR2,BIM,cv,1.945412265985109,8,1.6849500000000002,2
F,G,SOEL,BIM,cv,3.872983346207417,14,0.00250666666666666,1
F,G,SPORO,BIM,cv,1.3488253887231567,5.294117647058823,8.107226666666667,17
F,G,SPPO6,BIM,cv,2.8514129407566595,11,0.4735928,15
F,G,STEM,BIM,cv,1.716516405813988,11,0.208,1
F,G,THAC,BIM,cv,3.872983346207417,14,3.5600000000000003e-4,1
F,G,TILA2,BIM,cv,3.619212001326565,12.5625,0.6698449999999999,16
F,G,TOAN,BIM,cv,3.872983346207417,14,0.04706833333333334,2
F,P,ACNE,BIM,cv,2.851631151953128,11.837209302325581,0.02538827906976744,43
F,P,AGHE5,BIM,cv,2.7778547003092955,12.25,1.0556348333333334,4
F,P,AMPA,BIM,cv,3.4657067658073997,13.3125,0.05228875,16
F,P,ARAD,BIM,cv,3.872983346207417,14,0.00735,2
F,P,ARFEF,BIM,cv,3.2424079394182885,12.625,0.03283191666666666,32
F,P,ARIST,BIM,cv,2.865789201847221,11.5,0.8056202083333334,16
F,P,ARLUL2,BIM,cv,1.7473321626279805,5.5,1.5081383333333334,2
F,P,ASTRA,BIM,cv,2.8284695919017167,10.92156862745098,0.050201032679738564,51
F,P,BAABA,BIM,cv,3.872983346207417,14,0.0358,1
F,P,BADI,BIM,cv,2.322616144700639,8.128571428571428,0.2568810857142857,70
F,P,BAPT,BIM,cv,1.225694642459565,4,13.0524,1
F,P,BOBA2,BIM,cv,3.1324901284284983,10.777777777777779,0.15949866666666668,9
F,P,BOCU,BIM,cv,2.1719437910208748,7.7272727272727275,4.692850303030303,33
F,P,BOER4,BIM,cv,1.0958670507370678,2.537037037037037,23.803922814814815,54
F,P,BOGR2,BIM,cv,1.828202362244119,6.363636363636363,5.1191356818181815,88
F,P,BOHI2,BIM,cv,2.003226302515628,7.463768115942029,1.4449185700483091,69
F,P,BOSP,BIM,cv,3.872983346207417,14,0.01475,1
F,P,BRCA3,BIM,cv,3.3440172072644474,12.4,6.690012,5
F,P,CHCHC3,BIM,cv,2.597789679968922,11.35135135135135,0.12394378378378379,37
F,P,CHCO,BIM,cv,3.4532751598223475,13,0.15390666666666666,1
F,P,CHCO2,BIM,cv,2.8405629574968696,10.8,0.05538666666666667,5
F,P,CHER2,BIM,cv,1.4177891974732397,5.666666666666667,0.41091466666666665,3
F,P,CHFE3,BIM,cv,2.6970339271461823,10.51923076923077,0.16241020512820512,52
F,P,CHGR2,BIM,cv,2.1853873838828646,8.764705882352942,0.06381019117647059,68
F,P,CHLA10,BIM,cv,3.872983346207417,14,0.00107466666666666,1
F,P,CHRE4,BIM,cv,2.933383327307058,11.63888888888889,0.03050444444444444,72
F,P,CHSE7,BIM,cv,3.4387139211550406,13.083333333333334,0.04640233333333333,12
F,P,CHSES,BIM,cv,2.813895305146545,11.666666666666666,0.0632384,75
F,P,CINE,BIM,cv,2.459927845938493,11,0.02419,1
F,P,COAR4,BIM,cv,3.872983346207417,14,0.01099333333333333,1
F,P,COEQ,BIM,cv,3.872983346207417,14,0.15115833333333334,4
F,P,CRCR3,BIM,cv,3.8729833462074175,14,0.012341999999999992,4
F,P,CYIMI,BIM,cv,3.022609139532179,11.379310344827585,30.481196229885057,29
F,P,DABR,BIM,cv,3.0795723709170386,11.48,0.11993472,25
F,P,DAFO,BIM,cv,0.34978653055764775,0,26.76618,1
F,P,DALEA,BIM,cv,3.872983346207417,14,0.0028402738095238064,7
F,P,DEPI,BIM,cv,3.546871876202367,13.714285714285714,0.008009428571428567,7
F,P,DRCUC,BIM,cv,3.7636427161475696,13.8,0.001821999999999998,5
F,P,DRGL5,BIM,cv,2.305743897692155,9.096153846153847,0.0233861282051282,52
F,P,ECCOC,BIM,cv,2.975039016535422,9,2.0054133333333333,4
F,P,ECFEF3,BIM,cv,3.8729833462074166,14,0.030868888888888883,3
F,P,ECIN2,BIM,cv,3.872983346207417,14,1.3571666666666666,2
F,P,ELEL5,BIM,cv,2.907451215814364,12.357142857142858,0.2553505238095238,14
F,P,ENDE,BIM,cv,3.872983346207417,14,0.422,1
F,P,ERCI,BIM,cv,3.5394160052279497,13.666666666666666,0.01878555555555555,3
F,P,ERCI6,BIM,cv,3.3896678364978077,12.571428571428571,0.04076057142857143,7
F,P,ERDI4,BIM,cv,3.872983346207417,14,0.08684733333333333,4
F,P,ERFL,BIM,cv,3.276493215515262,11.8,0.081039,20
F,P,ERME,BIM,cv,3.6621631361465874,13.666666666666666,0.050065277777777764,6
F,P,ERPO4,BIM,cv,3.872983346207417,14,0.00759166666666666,1
F,P,ERWR,BIM,cv,3.1016638436234163,11.2,0.745476,10
F,P,EUEX4,BIM,cv,3.727859687585095,13.764705882352942,0.00702005882352941,17
F,P,FUCR,BIM,cv,3.491494497394681,13.444444444444445,0.12031592592592592,9
F,P,FUCYH,BIM,cv,3.872983346207417,14,0.12092666666666667,2
F,P,GIME,BIM,cv,3.872983346207417,14,0.00151833333333333,1
F,P,GLBI2,BIM,cv,3.3193351395909994,13.28,0.030935239999999996,50
F,P,GUSA2,BIM,cv,2.6701772013668092,10.533333333333333,3.6782919555555558,15
F,P,GUSP,BIM,cv,3.872983346207417,14,0.003297999999999995,2
F,P,HENA,BIM,cv,2.761184265730621,12.333333333333334,0.14053144444444443,6
F,P,HENE5,BIM,cv,3.8729833462074175,14,0.26676,1
F,P,HEOB,BIM,cv,3.872983346207417,14,0.05512371428571428,7
F,P,HEPI2,BIM,cv,3.2565395456795008,12.944444444444445,0.07324315277777778,54
F,P,HOGL2,BIM,cv,3.872983346207417,14,0.01099333333333333,1
F,P,HYVE,BIM,cv,3.872983346207417,14,0.041994533333333334,5
F,P,IPCO2,BIM,cv,3.872983346207417,14,0.2235324074074074,9
F,P,IPCR,BIM,cv,3.3925043226715634,13.1,0.2238023333333333,10
F,P,IPLA2,BIM,cv,3.872983346207417,14,0.040995000000000004,3
F,P,JUMO,BIM,cv,1.7660816737987306,9.342857142857143,106.30197428571428,35
F,P,KAPA,BIM,cv,3.1182386005072016,11.75,0.8214586666666667,8
F,P,LAOCO,BIM,cv,3.6966990559718913,13.857142857142858,0.0018925714285714286,7
F,P,LEPI3,BIM,cv,1.9686222811842833,7.264705882352941,0.07628647058823529,34
F,P,LOPL2,BIM,cv,3.4742515033873143,13.4,0.0666196,15
F,P,LYPH,BIM,cv,2.398542844699497,9.473684210526315,0.5888303508771929,38
F,P,MAHA4,BIM,cv,3.2860947893673647,13.5,1.533,2
F,P,MAWR2,BIM,cv,3.872983346207417,14,0.00159666666666666,1
F,P,MIAL4,BIM,cv,3.872983346207417,14,0.305065,2
F,P,MILI3,BIM,cv,2.673416260109977,10.40625,0.15209697916666667,32
F,P,MIMU,BIM,cv,3.6602582692705035,13.75,0.25435825,8
F,P,MIOX,BIM,cv,3.295408486926646,12.333333333333334,1.3598753333333333,3
F,P,MOCE,BIM,cv,3.872983346207417,14,0.0020567499999999965,2
F,P,MUAR,BIM,cv,3.872983346207416,14,0.07966666666666668,1
F,P,MUAR2,BIM,cv,3.872983346207417,14,0.00752,1
F,P,MUFR,BIM,cv,3.872983346207417,14,0.02658333333333333,1
F,P,MUPA2,BIM,cv,2.970037151800678,11,1.264224166666667,8
F,P,MUPO2,BIM,cv,3.872983346207417,14,1.1418,2
F,P,MUSQ3,BIM,cv,3.4545865329331433,13.142857142857142,0.021863999999999998,7
F,P,MUTO2,BIM,cv,1.6082688885310124,5.310344827586207,1.8831384827586206,29
F,P,"NADI",BIM,cv,3.454013992393915,13.354166666666666,0.010596701388888885,48
F,P,NECA3,BIM,cv,3.304675133373751,13,0.047474913580246914,27
F,P,NOMI,BIM,cv,1.2613789817296062,6.5,225.3729,2
F,P,OECA10,BIM,cv,3.8729833462074166,14,0.00769533333333333,3
F,P,OPEN3,BIM,cv,3.2262838382054237,12.3,25.82096,10
F,P,OPMA8,BIM,cv,3.872983346207417,14,9.6556,1
F,P,OPPH,BIM,cv,2.592497237952273,10.657142857142857,21.213217333333336,35
F,P,OPPOP,BIM,cv,3.872983346207417,14,1.5756,2
F,P,OPUNT,BIM,cv,3.5250034036832743,13.6875,0.14224166666666668,16
F,P,PAHI5,BIM,cv,3.872983346207417,14,0.011962499999999996,2
F,P,PEAN,BIM,cv,2.7072562870397165,10.466666666666667,0.051684,75
F,P,PEBA2,BIM,cv,2.074021171732485,11,0.14291333333333334,1
F,P,PEFE,BIM,cv,3.872983346207417,14,0.06533333333333333,1
F,P,PELO3,BIM,cv,3.3890956483970096,13.5,0.04672166666666666,2
F,P,PHHE4,BIM,cv,3.5242273210845596,13.285714285714286,0.16097380952380952,7
F,P,PHHEF,BIM,cv,3.1779276218531454,13.25,0.08987049999999999,4
F,P,PHLO15,BIM,cv,3.872983346207417,14,0.05141875,3
F,P,PLJA,BIM,cv,2.9495596244755498,11.142857142857142,0.9970885714285714,7
F,P,PLPA2,BIM,cv,3.74190006078463,13.666666666666666,8.238518518518519e-4,9
F,P,POFE,BIM,cv,2.800168095147957,11.2,0.6172044,15
F,P,POHA5,BIM,cv,3.5772134166521665,13.25,0.021215416666666667,24
F,P,POOL,BIM,cv,3.0503587440807567,11.365384615384615,0.11727064102564103,52
F,P,RHTR,BIM,cv,2.1914800639446734,9.6,30.157728,15
F,P,SAAB,BIM,cv,2.835748369082245,11.67123287671233,0.059076986301369865,73
F,P,SASU7,BIM,cv,2.801045840986918,11.26923076923077,0.08150584615384615,26
F,P,SATR12,BIM,cv,3.872983346207417,14,0.016132,1
F,P,SCMU6,BIM,cv,2.967497515131287,12.216216216216216,0.02665315315315315,74
F,P,SEDI3,BIM,cv,3.872983346207417,14,0.1095,1
F,P,SIAL2,BIM,cv,3.7780610360805955,13.923076923076923,0.00640035897435897,13
F,P,SOEL,BIM,cv,1.6582562181647278,5.4,2.3514538666666667,5
F,P,SOJA,BIM,cv,2.9236188908182696,12.142857142857142,0.19081285714285715,7
F,P,SPCOC,BIM,cv,2.7489372645797907,11.25,0.108834,4
F,P,SPORO,BIM,cv,2.7866690790110025,10.285714285714286,2.449872365079365,21
F,P,SPPO6,BIM,cv,2.8372361235293755,10.4375,0.6721049166666666,16
F,P,TEAR4,BIM,cv,3.872983346207417,14,0.01099333333333333,1
F,P,THWR,BIM,cv,3.622526781064257,13.526315789473685,0.06567070175438595,19
F,P,TRRA,BIM,cv,3.8729833462074175,14,0.00265833333333333,1
F,P,TRRA5,BIM,cv,3.872983346207417,14,0.00549666666666666,1
F,P,VINE,BIM,cv,3.3453893077730905,12.75,0.75302499999999994,8
F,P,YUBA,BIM,cv,1.8147664717009413,8,4.044888888888889,3
F,P,ZIGR,BIM,cv,1.7626004152633876,9,0.10378666666666668,1
S,B,ALIN,BIM,cv,3.872983346207417,14,0.00533333333333333,1
S,B,ALMA4,BIM,cv,2.502099603281716,11.25,0.17410891666666664,4
S,B,ARAD,BIM,cv,3.872983346207417,14,0.00816666666666666,1
S,B,ARIST,BIM,cv,2.5392713618845897,10.789473684210526,0.9974829824561403,19
S,B,ASTRA,BIM,cv,3.2846086220088817,12.1875,0.8711495833333334,16
S,B,BOER4,BIM,cv,1.5234508500873012,4.375,6.441219555555556,24
S,B,BOGR2,BIM,cv,1.076480600027449,1.1,3.2897625333333336,30
S,B,BREUC2,BIM,cv,3.872983346207417,14,0.02917444444444444,3
S,B,CAHA14,BIM,cv,3.872983346207417,14,0.00625166666666666,1
S,B,CAWR,BIM,cv,3.8729833462074175,14,0.00808333333333333,1
S,B,CHAL11,BIM,cv,2.243144547156074,8,0.42681800000000003,9
S,B,CHCO2,BIM,cv,2.952283493771646,12.4,0.0076333333333333305,5
S,B,CHER2,BIM,cv,3.5292540691498333,13.333333333333334,0.08057777777777778,3
S,B,CHIN2,BIM,cv,3.7477881670925166,13.75,0.010467916666666664,8
S,B,CHSE7,BIM,cv,3.872983346207417,14,4.280000000000001e-4,1
S,B,CHSES,BIM,cv,3.872983346207417,14,0.001968,3
S,B,CINE,BIM,cv,2.8400270778370764,10,0.27199,2
S,B,COEQ,BIM,cv,3.759247856213321,13,0.22506,1
S,B,CRCR3,BIM,cv,3.027534206997436,12.217391304347826,0.19818747826086955,23
S,B,CYACF,BIM,cv,3.872983346207417,14,0.01250333333333333,1
S,B,DAPU7,BIM,cv,2.107234941116771,8.2,0.07597977777777777,15
S,B,DEPI,BIM,cv,3.1223516522362282,12.411764705882353,0.2961083529411765,17
S,B,DEWO,BIM,cv,2.9052079505866018,13,0.04376166666666666,1
S,B,ECFEF3,BIM,cv,2.368554649765858,11.25,0.4152433333333333,4
S,B,ECIN2,BIM,cv,3.168395314449184,13,0.0637652380952381,7
S,B,ELEL5,BIM,cv,3.8729833462074175,14,0.00437999999999999,1
S,B,ERAB2,BIM,cv,2.6389933145587383,13,0.00646666666666666,1
